"YEAR","AMA","SECTOR","CATEGORY","PARENT WATER TYPE OR SECTOR","BUDGET ELEMENT","QUANTITY"
"1989","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","404009"
"1995","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","402930"
"1995","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","402884"
"1987","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","402408"
"2000","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","400668"
"1990","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","399092"
"2012","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","397862"
"2003","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","397842"
"2007","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","397313"
"1997","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","395603"
"1988","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","391963"
"2009","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","389454"
"1991","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","386675"
"1998","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","384067"
"1987","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","383850"
"2012","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","382963"
"2001","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","382539"
"1998","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","381572"
"2005","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","381461"
"1994","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","380877"
"2001","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","380779"
"2000","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","379889"
"2002","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","379745"
"2002","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","379187"
"2004","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","379110"
"2018","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","379007"
"1999","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","378901"
"1986","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","376034"
"2006","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","373279"
"2003","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","373167"
"2013","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","369834"
"1985","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","367146"
"2005","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","366281"
"1994","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","366067"
"2011","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","365275"
"1988","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","364521"
"1994","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","363800"
"1994","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","362978"
"1989","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","362588"
"1995","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","361177"
"1985","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","360702"
"1994","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","359029"
"2009","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","358918"
"1993","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","358902"
"1990","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","358740"
"2018","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","358479"
"2016","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","357429"
"2015","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","356929"
"1995","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","355983"
"1998","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","355444"
"1996","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","354616"
"1999","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","354118"
"1988","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","352570"
"1993","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","351478"
"1987","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","351303"
"2009","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","349348"
"2008","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","349073"
"2015","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","348527"
"1986","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","347865"
"1991","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","346618"
"2014","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","344646"
"1991","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","344403"
"2014","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","344059"
"1987","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","343586"
"1990","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","341620"
"1995","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","340812"
"2017","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","340074"
"2013","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","339571"
"2014","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","336456"
"2013","PHOENIX AMA","Municipal","Supply","CAP","CAP","333409"
"2003","PINAL AMA","Agricultural","Supply","CAP","CAP","332470"
"2003","PHOENIX AMA","Municipal","Supply","Groundwater","Groundwater","332005"
"1992","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","329965"
"2016","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","329406"
"1985","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","329274"
"2001","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","328962"
"2006","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","327702"
"1992","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","327635"
"1995","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","325236"
"2017","PHOENIX AMA","Municipal","Supply","Surface Water","Surface water","325014"
"2004","PHOENIX AMA","Municipal","Supply","Groundwater","Groundwater","324626"
"2007","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","323918"
"2004","PHOENIX AMA","Municipal","Supply","CAP","CAP","323253"
"2004","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","321899"
"1996","PINAL AMA","Agricultural","Supply","CAP","CAP","321605"
"2012","PHOENIX AMA","Municipal","Supply","CAP","CAP","321525"
"1987","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","321108"
"1996","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","321061"
"2003","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","321036"
"2017","PHOENIX AMA","Municipal","Supply","CAP","CAP","320809"
"2011","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","320785"
"2014","PHOENIX AMA","Municipal","Supply","CAP","CAP","320349"
"1993","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","320201"
"2010","PHOENIX AMA","Municipal","Supply","CAP","CAP","319646"
"2015","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","319643"
"2007","PHOENIX AMA","Municipal","Supply","CAP","CAP","318679"
"2010","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","317971"
"1989","PINAL AMA","Agricultural","Supply","CAP","CAP","317407"
"1989","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","315782"
"2016","PHOENIX AMA","Municipal","Supply","CAP","CAP","315721"
"2015","PHOENIX AMA","Municipal","Supply","CAP","CAP","313811"
"1996","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","313166"
"2006","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","312759"
"2011","PHOENIX AMA","Municipal","Supply","CAP","CAP","311820"
"2010","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","311757"
"1990","PHOENIX AMA","Recharge","Natural","","Streambed Actual","310031"
"2005","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","309657"
"2009","PHOENIX AMA","Municipal","Supply","CAP","CAP","308853"
"1985","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","308110"
"2008","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","307582"
"1989","PHOENIX AMA","Indian","Demand","Indian","Agricultural","306767"
"1994","PINAL AMA","Agricultural","Supply","CAP","CAP","306452"
"1997","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","306306"
"1994","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","306000"
"2008","PHOENIX AMA","Municipal","Supply","CAP","CAP","304949"
"2012","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","304811"
"1990","PINAL AMA","Agricultural","Supply","CAP","CAP","303989"
"2014","PINAL AMA","Agricultural","Supply","CAP","CAP","303649"
"2007","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","303469"
"2003","PHOENIX AMA","Municipal","Supply","CAP","CAP","303125"
"2006","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","302765"
"1998","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","302313"
"1986","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","301662"
"1995","PINAL AMA","Agricultural","Supply","CAP","CAP","300145"
"2006","PHOENIX AMA","Municipal","Supply","CAP","CAP","298523"
"1988","PHOENIX AMA","Indian","Demand","Indian","Agricultural","298463"
"2012","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","297070"
"1993","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","296152"
"2002","PINAL AMA","Agricultural","Supply","CAP","CAP","296062"
"2004","PINAL AMA","Agricultural","Supply","CAP","CAP","295613"
"1992","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","295067"
"2009","PHOENIX AMA","Indian","Demand","Indian","Agricultural","294379"
"2009","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","294161"
"2013","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","292431"
"1990","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","292303"
"1986","PHOENIX AMA","Municipal","Supply","Groundwater","Groundwater","292108"
"1993","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","291924"
"1991","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","291830"
"1993","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","291624"
"2008","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","291233"
"2013","PINAL AMA","Agricultural","Supply","CAP","CAP","290834"
"1996","PHOENIX AMA","Indian","Demand","Indian","Agricultural","290452"
"2011","PINAL AMA","Agricultural","Supply","CAP","CAP","289976"
"2008","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","288493"
"2018","PHOENIX AMA","Municipal","Supply","CAP","CAP","287352"
"2008","PINAL AMA","Agricultural","Supply","CAP","CAP","287171"
"2011","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","286944"
"1990","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","286728"
"2009","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","286513"
"1994","PHOENIX AMA","Indian","Demand","Indian","Agricultural","284492"
"1986","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","284118"
"2013","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","283847"
"1987","PHOENIX AMA","Indian","Demand","Indian","Agricultural","283160"
"1998","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","282672"
"2001","PINAL AMA","Agricultural","Supply","CAP","CAP","282393"
"2000","PINAL AMA","Agricultural","Supply","CAP","CAP","282101"
"2010","PINAL AMA","Agricultural","Supply","CAP","CAP","281834"
"2009","PINAL AMA","Agricultural","Supply","CAP","CAP","279781"
"2005","PHOENIX AMA","Municipal","Supply","CAP","CAP","279536"
"2016","PHOENIX AMA","Indian","Demand","Indian","Agricultural","278571"
"2015","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","278461"
"2012","PINAL AMA","Agricultural","Supply","CAP","CAP","277781"
"1995","PHOENIX AMA","Indian","Demand","Indian","Agricultural","277410"
"1995","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","276212"
"2016","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","276042"
"2007","PINAL AMA","Agricultural","Supply","CAP","CAP","275919"
"2004","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","275300"
"2015","PHOENIX AMA","Indian","Demand","Indian","Agricultural","275152"
"2012","PHOENIX AMA","Indian","Demand","Indian","Agricultural","274579"
"1990","PHOENIX AMA","Municipal","Supply","Groundwater","Groundwater","273860"
"2017","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","273828"
"2005","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","273791"
"2018","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","273686"
"2010","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","273127"
"2014","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Non-Residential Deliveries","272441"
